epoch,box_loss,cls_loss,dfl_loss
1,1.88972,3.76636,0.00608
2,1.75857,2.31465,0.00553
3,1.76336,1.91649,0.00553
4,1.79596,1.7424,0.00568
5,1.77009,1.62097,0.00552
6,1.74034,1.54563,0.00545
7,1.73079,1.47715,0.00549
8,1.71871,1.42692,0.00532
9,1.71425,1.41535,0.00534
10,1.7002,1.37512,0.00532
11,1.7063,1.33922,0.00526
12,1.69419,1.30812,0.0053
13,1.69538,1.27758,0.00524
14,1.69318,1.28887,0.00527
15,1.684,1.23713,0.00529
16,1.68759,1.22182,0.00523
17,1.67695,1.21667,0.00523
18,1.67662,1.20753,0.00523
19,1.68,1.18172,0.00515
20,1.66224,1.17409,0.00518
21,1.66233,1.17441,0.00512
22,1.65944,1.16361,0.00514
23,1.65896,1.15138,0.00508
24,1.64707,1.12404,0.00506
25,1.64937,1.12287,0.00508
26,1.63282,1.09239,0.00507
27,1.6342,1.09336,0.00501
28,1.63208,1.09459,0.00502
29,1.63417,1.08529,0.00501
30,1.63116,1.08201,0.00505
31,1.6302,1.08175,0.00496
32,1.6244,1.06672,0.00495
33,1.6161,1.06044,0.00495
34,1.6151,1.04593,0.00495
35,1.59922,1.03608,0.00495
36,1.60952,1.03582,0.0049
37,1.60754,1.03336,0.00488
38,1.59349,1.02735,0.0049
39,1.59136,1.01597,0.00486
40,1.59998,1.01387,0.00487
41,1.59358,1.00705,0.00486
42,1.59514,1.01043,0.00486
43,1.57789,0.99005,0.0048
44,1.58784,0.99523,0.00482
45,1.58531,0.98707,0.00478
46,1.57567,0.98481,0.00479
47,1.56529,0.95706,0.00478
48,1.5829,0.97676,0.00474
49,1.56251,0.96747,0.00481
50,1.57653,0.97865,0.00472
51,1.57176,0.9823,0.00474
52,1.55895,0.9518,0.00472
53,1.55269,0.94205,0.00473
54,1.54926,0.93563,0.00466
55,1.55786,0.94463,0.00476
56,1.54895,0.93301,0.00464
57,1.55901,0.92474,0.00469
58,1.54197,0.91848,0.00463
59,1.54197,0.91147,0.00467
60,1.53251,0.91172,0.00466
61,1.52783,0.90281,0.00461
62,1.52605,0.89581,0.00466
63,1.52637,0.89572,0.00463
64,1.52421,0.89707,0.00464
65,1.53045,0.90071,0.0046
66,1.52197,0.88694,0.00459
67,1.52729,0.88646,0.00458
68,1.51546,0.87221,0.00451
69,1.52283,0.88306,0.00461
70,1.51854,0.88082,0.00456
71,1.51184,0.8714,0.00451
72,1.50916,0.87422,0.00454
