epoch,mAP50
1,0.4091
2,0.52982
3,0.57886
4,0.60858
5,0.65495
6,0.66472
7,0.6708
8,0.64186
9,0.70352
10,0.70727
11,0.71212
12,0.72859
13,0.72153
14,0.74112
15,0.74042
16,0.7299
17,0.75682
18,0.74873
19,0.76644
20,0.76979
21,0.76721
22,0.77536
23,0.77903
24,0.78231
25,0.77666
26,0.78296
27,0.79029
28,0.7826
29,0.79624
30,0.79285
31,0.79918
32,0.79465
33,0.80005
34,0.80247
35,0.8057
36,0.8041
37,0.80645
38,0.81041
39,0.81204
40,0.81214
41,0.80183
42,0.8075
43,0.81025
44,0.81382
45,0.81323
46,0.81531
47,0.81712
48,0.81679
49,0.81707
50,0.81755
